,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
3650,정다운약국,0900,1300,,,,,37.5074939,126.94502150000001,동작구
3651,현대온누리약국,,,,,,,37.46005039999999,126.9051127,금천구
3652,부활약국,0900,1800,,,,,37.5702984,126.96183290000002,서대문구
3653,아주약국,,,,,0900,2130,37.544985100000005,127.143355,강동구
3654,광제사약국,,,,,,,37.5649321,127.080887,광진구
3655,새하나약국,,,,,,,37.5267889,127.1154351,송파구
3656,월드중앙약국,0830,2100,1000,1900,1000,1900,37.5177414,127.10165649999999,송파구
3657,초이스약국,0900,2200,0900,1900,0900,1900,37.496312599999996,127.02784469999999,서초구
3658,미소가득약국,0900,1400,,,,,37.5696393,127.07467439999999,동대문구
3659,상계종로약국,0830,1800,,,1000,1800,37.6578984,127.0744335,노원구
3660,우리보건약국,,,,,,,37.582857399999995,127.08773729999999,중랑구
3661,홍제태양약국,0830,1800,,,,,37.5889293,126.9442774,서대문구
3662,신사행복나눔약국,0900,2100,,,,,37.5157069,127.01914440000002,서초구
3663,이화약국,0830,1330,,,,,37.6343554,127.03353249999999,강북구
3664,예다인온누리약국,1000,1630,,,,,37.5604321,126.82958880000001,강서구
3665,온유약국,0800,2000,0800,2000,0800,2000,37.5711641,127.0005429,종로구
3666,새롬약국,0900,1400,0900,1400,0900,1400,37.507157899999996,127.0913749,송파구
3667,하늘약국,,,,,,,37.546040600000005,127.0793223,광진구
3668,아이메디칼약국,0900,1700,0900,1700,0900,1700,37.6070666,127.0299269,성북구
3669,종로혜민약국,0900,1300,,,,,37.5533338,126.8510294,강서구
3670,별담은온누리약국,0900,1400,0900,1400,0900,1400,37.524457899999994,126.90765990000001,영등포구
3671,소나무약국,1000,2200,1000,2200,1000,2200,37.646662299999996,127.0709672,노원구
3672,솔빛동양약국,0900,1900,1400,2000,,,37.48730020000001,127.051556,강남구
3673,신명약국,0930,1530,,,,,37.5561674,126.93927009999999,마포구
3674,신도림제일약국,0900,1600,,,,,37.506327500000005,126.89211340000001,구로구
3675,2층하늘약국,0900,1400,,,,,37.5700958,126.9038297,마포구
3676,삼일약국,0800,2030,0800,1900,,,37.625052600000004,127.0180798,강북구
3677,하얀약국,,,,,,,37.47833060000001,126.8940645,금천구
3678,새보건약국,,,,,,,37.6025749,127.03991770000002,성북구
3679,기영약국,0900,1300,,,,,37.5337008,127.0054591,용산구
3680,서안약국,0800,1400,,,,,37.5404502,126.9619855,용산구
3681,시티온누리약국,0900,1500,,,,,37.543391,126.97195149999999,용산구
3682,한빛약국,0900,1600,,,,,37.6136586,127.03044320000001,강북구
3683,창대온누리약국,0900,2200,1030,2200,,,37.5485227,126.8651393,양천구
3684,착한약국,0900,1800,,,,,37.55425839999999,127.0896338,광진구
3685,신양온누리약국,,,,,,,37.453604999999996,126.90334399999999,금천구
3686,이지약국,0900,1500,,,,,37.5874234,127.0880257,중랑구
3687,해태사랑약국,0900,1500,,,,,37.491172,126.9249803,동작구
3688,힐링약국,0850,1400,,,,,37.5432524,126.98750390000001,용산구
3689,온누리연세약국,0830,1300,,,,,37.6150089,126.91765320000002,은평구
3690,새봄약국,0900,1700,,,,,37.5220048,126.9052713,영등포구
3691,열린약국,0900,1500,,,,,37.59811129999999,127.03375459999998,성북구
3692,삼희약국,0900,1600,0900,1300,,,37.5264555,126.96570700000001,용산구
3693,백현약국,0900,1500,,,0900,1400,37.5702876,127.0231642,중구
3694,튼튼중앙약국,0930,1500,,,,,37.492619299999994,127.07556890000001,강남구
3695,엔젤팜약국,0900,1500,,,,,37.615699600000006,127.0193513,강북구
3696,늘픔약국,0800,1600,,,,,37.4847836,126.932331,관악구
3697,밝은미소약국,0830,2000,0900,2000,0900,2000,37.48610350000001,126.9472808,관악구
3698,가까운약국,0840,1700,0840,1400,0840,1400,37.48610350000001,126.9472808,관악구
3699,남일온누리약국,,,,,,,37.5211214,127.1094588,송파구
3700,은혜온누리약국,0900,2030,,,,,37.570468299999995,126.91293459999999,서대문구
3701,수프라자약국,0900,1500,,,,,37.498419,127.146399,송파구
3702,메디컬우리약국,0900,1800,,,,,37.5946912,127.064765,동대문구
3703,나라약국,0900,1800,,,0830,1930,37.5746408,126.9232419,서대문구
3704,서리풀약국,0830,1730,1000,1800,1000,1800,37.486462100000004,127.0209426,서초구
3705,보문약국,0830,1500,,,,,37.585954799999996,127.0187159,성북구
3706,조은약국,,,,,,,37.531580100000006,127.1483305,강동구
3707,금강약국,0900,1500,,,,,37.5121799,126.9521722,동작구
3708,우성당약국,,,,,,,37.4923219,126.91161890000001,동작구
3709,엄마랑약국,0900,1600,,,,,37.5071985,126.939695,동작구
3710,조아약국,,,,,,,37.591931200000005,126.9173953,은평구
3711,한성약국,0830,1700,0900,1400,,,37.5094191,127.01304979999999,서초구
3712,우리온누리약국,0800,1600,,,,,37.494437899999994,127.0615378,강남구
3713,엄약국,0900,2000,1000,2000,1000,2000,37.5712497,127.00298799999999,종로구
3714,메디참사랑약국,1000,2200,,,,,37.5642454,126.8499416,강서구
3715,광명약국,,,,,,,37.558651399999995,126.9257489,마포구
3716,좋은약국,0930,1900,,,,,37.5318834,126.83170249999999,양천구
3717,웰빙팜건강프라자약국,,,,,,,37.503331599999996,127.09050069999999,송파구
3718,행복약국,,,,,,,37.537753,126.8934726,영등포구
3719,캠브리지5층약국,,,,,,,37.4980272,127.0293696,강남구
3720,팜필리아약국,,,,,,,37.613797,127.07750290000001,중랑구
3721,은평자연약국,0900,2200,1400,2100,1400,2100,37.6130966,126.91438490000002,은평구
3722,햇빛약국,,,,,,,37.493670200000004,127.08397109999999,강남구
3723,테헤란약국,,,,,,,37.5047331,127.0484548,강남구
3724,아이사랑약국,0900,1700,1000,1700,,,37.4530099,126.9017478,금천구
3725,곰돌이스타약국,0900,1900,0900,1900,0900,1900,37.491914,126.99049740000001,서초구
3726,종로수약국,,,,,,,37.489896200000004,126.9279646,관악구
3727,경희정문약국,0900,1400,,,,,37.5526158,127.15596140000001,강동구
3728,천호브라운스톤약국,0900,1600,,,,,37.5379796,127.12373970000002,강동구
3729,메디팜자연약국,0900,1330,,,,,37.53773270000001,127.1396666,강동구
3730,이화온누리약국,,,,,,,37.541462700000004,127.1301387,강동구
3731,보리약국,0900,1500,,,,,37.52149910000001,126.85852369999999,양천구
3732,열린약국,,,,,,,37.5470845,127.134092,강동구
3733,서초제일약국,0900,2000,1100,2000,1100,2000,37.4839396,126.99555490000002,서초구
3734,민들레약국,,,,,,,37.5880184,126.91635249999999,은평구
3735,종로5가미래약국,0900,2000,0900,2000,0900,2000,37.57117179999999,127.00124009999999,종로구
3736,푸른온누리약국,0900,1500,,,,,37.479710299999994,127.03880890000002,서초구
3737,메디팜제일약국,0800,1600,,,,,37.5027459,126.8501607,구로구
3738,매일여는온누리약국,0900,2400,0900,2400,0900,2400,37.5046802,127.0877732,송파구
3739,SK온누리약국,0900,1330,,,,,37.619918799999994,127.0128244,강북구
3740,드림약국,,,,,,,37.5300619,127.13249209999998,강동구
3741,메디안약국,1000,1800,,,,,37.5028098,127.0245281,서초구
3742,양재시민의숲수약국,1000,1400,,,,,37.4710348,127.03945139999999,서초구
3743,송파제일약국,0900,1600,1300,1900,,,37.5114778,127.11261950000001,송파구
3744,옵티마자연약국,0900,2000,,,,,37.5235593,126.87575349999999,양천구
3745,독산메디칼약국,0900,2000,,,,,37.465731299999995,126.9023778,금천구
3746,연세참사랑약국,,,,,,,37.6187604,127.07560649999999,노원구
3747,새봄약국,0900,1800,,,,,37.5555625,126.9082449,마포구
3748,강남퍼스트약국,1000,1830,,,,,37.5160375,127.02032779999999,강남구
3749,늘푸른약국,0800,1330,,,,,37.5781311,127.0576348,동대문구
3750,금강약국,0900,1500,,,,,37.584972799999996,127.03127620000001,성북구
3751,싱싱약국,,,,,,,37.5627523,126.9685162,서대문구
3752,더블유약국,,,,,,,37.504163399999996,127.02510430000001,강남구
3753,동호일층약국,0900,1500,,,,,37.6129458,127.076844,중랑구
3754,동인프라자약국,0900,1700,,,,,37.53476320000001,126.82798259999998,양천구
3755,경희궁햇살약국,0900,1400,,,0900,1400,37.5811865,126.97119540000001,종로구
3756,한마음약국,0900,1400,,,,,37.542835,126.86239209999998,강서구
3757,일등약국,0900,1400,,,,,37.4918552,126.88352379999999,구로구
3758,영준약국,0830,1400,,,,,37.60989910000001,127.0329226,성북구
3759,산소망약국,0900,1600,,,,,37.5587972,126.84563840000001,강서구
3760,중앙사약국,0900,1500,,,,,37.45192410000001,126.90213429999999,금천구
3761,새서울약국,0900,2100,,,,,37.5880805,126.94458030000001,서대문구
3762,가좌진약국,0900,1500,,,,,37.579276799999995,126.933107,서대문구
