,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
348,디큐브약국,1100.0,2100.0,37.5084321,126.8887332,구로구
349,두산약국,900.0,1300.0,37.4917902,126.8920319,구로구
350,대림약국,900.0,1300.0,37.5057794,126.88071399999998,구로구
351,성보약국,930.0,1930.0,37.481607200000006,126.9432396,관악구
352,태양당약국,800.0,1800.0,37.4866253,126.9395291,관악구
353,마천푸른솔약국,1000.0,2000.0,37.49816420000001,127.1469278,송파구
354,365바른약국,1100.0,2200.0,37.5119423,127.0870254,송파구
355,나은약국,1100.0,2100.0,37.4919206,126.8892176,구로구
356,조아약국,1000.0,2200.0,37.5023699,126.8814842,구로구
357,태영약국,900.0,1300.0,37.5055816,126.889833,구로구
358,강원약국,900.0,2130.0,37.469084,126.9375555,관악구
359,태평양약국,930.0,2130.0,37.484189,126.9273666,관악구
360,봉천프라자약국,1000.0,2000.0,37.4819264,126.9427614,관악구
361,태평양약국,1000.0,2100.0,37.5078652,127.0879833,송파구
362,그랜드약국,900.0,2000.0,37.5003853,127.1451644,송파구
363,송파그랜드약국,1200.0,2200.0,37.48495379999999,127.1259706,송파구
364,팜플러스약국,900.0,2200.0,37.4956238,127.1220318,송파구
365,수태평양약국,900.0,2100.0,37.5026376,126.84995990000002,구로구
366,대자연약국,1000.0,2200.0,37.54591720000001,127.1335363,강동구
367,강동태평양약국,900.0,2200.0,37.5263296,127.1351805,강동구
368,새아름약국,830.0,2000.0,37.5504248,127.1288335,강동구
369,황제약국,900.0,1300.0,37.5060775,127.1079217,송파구
370,종로광명약국,900.0,2200.0,37.55075520000001,127.1717462,강동구
371,우리들약국,900.0,2430.0,37.5509801,127.1275225,강동구
372,믿음약국,930.0,2230.0,37.4786512,126.956964,관악구
373,혜민약국,900.0,2230.0,37.54322670000001,127.1449175,강동구
374,동현약국,700.0,2400.0,37.5452118,127.14157,강동구
375,봄내약국,1500.0,2200.0,37.4858519,126.9276244,관악구
376,새힘온누리약국,900.0,2030.0,37.5047931,127.1348747,송파구
377,새실로암약국,1000.0,2200.0,37.5499518,127.143503,강동구
